DateRep;Country;Cases_cumsum
3/26/20;Paruro;0
3/26/20;Paucartambo;0
3/26/20;Quispicanchi;0
3/26/20;Urubamba;0
3/27/20;Acomayo;0
3/27/20;Anta;0
3/27/20;Calca;0
3/27/20;Canas;0
3/27/20;Canchis;0
3/27/20;Chumbivilcas;0
3/27/20;Cusco;17
3/27/20;Espinar;0
3/27/20;La Convencion;1
3/27/20;Paruro;0
3/27/20;Paucartambo;0
3/27/20;Quispicanchi;0
3/27/20;Urubamba;0
3/28/20;Acomayo;0
3/28/20;Anta;0
3/28/20;Calca;0
3/28/20;Canas;0
3/28/20;Canchis;0
